ID,NAME,FILMING DATES,DESCRIPTION,USER_ID
1,MANEATER,11/10/23,SUCH A GOOD FILM,1
2,HARMONY OF HEARTS,12/2/23,SUCH A GOOD FILM,1
3,TRUTH SEEKER,8/10/23,SUCH A GOOD FILM,1
4,STARLIGHT DREAMS,7/15/23,A CAPTIVATING ROMANCE,1
5,MYSTERIOUS SHADOWS,6/5/23,A THRILLING MYSTERY,1
6,SUNSET SERENADE,9/20/23,A HEARTWARMING MUSICAL,1
7,ETERNAL ECLIPSE,4/1/23,A DARK FANTASY EPIC,1
8,LOST IN TIME,2/12/23,A TIME-TRAVEL ADVENTURE,1
9,ENCHANTED GARDEN,10/8/23,A MAGICAL FAMILY FILM,1
10,UNCHARTED WATERS,3/25/23,A HIGH-SEAS ADVENTURE,1
11,BEYOND THE STARS,5/30/23,AN INTERGALACTIC JOURNEY,1
12,WHISPERS IN THE WOODS,11/18/23,A HAUNTING HORROR,1
13,CELESTIAL HARMONY,7/5/23,A SCI-FI ODYSSEY,1
14,SERENADE UNDER THE MOON,1/9/23,A ROMANTIC COMEDY,1
15,THE LOST KINGDOM,8/27/23,AN EPIC FANTASY QUEST,1
16,CITY OF ILLUSIONS,6/18/23,A PSYCHOLOGICAL THRILLER,1
17,CHASING DREAMS,9/12/23,A DRAMA OF AMBITIONS,1
18,SECRET OF THE ORACLE,4/28/23,A MYSTICAL ADVENTURE,1
19,STARDUST MEMORIES,2/5/23,A NOSTALGIC JOURNEY,1
20,UNDERGROUND REBELLION,10/15/23,A DYSTOPIAN ACTION,1
21,WHEN SHADOWS FALL,5/8/23,A SUPERNATURAL MYSTERY,1
22,LOVE IN BLOOM,12/7/23,A ROMANTIC DRAMA,1
23,THE TIMELESS VOYAGE,8/3/23,A TIME-TRAVEL ROMANCE,1