ID,user_id,project_id,role_id
1,1,1,29
2,1,1,7
3,1,1,18
4,1,1,23
5,2,2,11
6,2,2,10
7,2,2,21
8,2,3,24
9,2,3,17
10,2,3,29
11,2,3,25
12,2,3,9
13,2,3,26
14,2,3,1
15,2,3,2
16,4,4,22
17,4,4,10
18,4,4,19
19,3,5,14
20,3,5,7
21,3,5,17
22,3,5,12
23,3,6,22
24,3,7,23
25,3,7,3
26,3,8,7
27,3,8,8
28,3,8,29
29,3,8,9
30,4,9,2
31,4,9,29
32,4,9,3
33,4,9,6
34,1,10,8
35,1,10,18
36,2,11,11
37,2,11,23
38,2,11,18
39,2,12,16
40,2,12,2
41,2,12,25
42,1,13,17
43,1,13,5
44,1,13,19
45,1,13,4
46,1,13,19
47,3,14,28
48,3,14,4
49,4,15,27
50,4,15,28
51,4,15,14
52,4,15,9
53,4,16,11
54,4,16,23
55,4,16,22
56,4,16,3
57,4,16,5
58,4,16,29
59,2,17,3
60,2,17,27
61,1,18,18
62,1,18,11
63,1,18,27
64,1,19,24
65,1,19,2
66,1,19,18
67,1,19,1
68,1,19,21
69,4,20,25
70,4,20,11
71,2,21,1
72,1,22,2
73,1,22,5
74,1,22,1
75,1,22,26
76,3,23,5
77,3,23,4
78,3,23,29